item_number,category,product,vendor_id,vendor_name,bottle_ml,pack_size,inner_pack,age,proof,list_date,list_year,upc,scc,state_bottle_cost,state_case_cost,state_bottle_retail,report_date
31544,AMERICAN DRY GINS,No. 209 Gin,13,"209, Ltd",750,6,1,0,92,07/01/2008,2008,,,17.59,105.55,26.39,01/04/16
951175,FLAVORED RUM,Kirk & Sweeney 12YR Old Anejo,110,3 Badge Mixology,750,6,1,12,80,01/01/2016,2016,856442005086,856442005086,17.5,105,26.25,01/04/16
13728,CANADIAN WHISKIES,Masterson's 10YR Straight Barley,110,3 Badge Mixology,750,6,1,0,92,12/01/2013,2013,89105810073,89105810073,39.42,236.5,59.13,01/04/16
13730,STRAIGHT RYE WHISKIES,Masterson's 10YR Straight Rye,110,3 Badge Mixology,750,6,1,0,90,12/01/2013,2013,89105810066,89105810066,39.42,236.5,59.13,01/04/16
32650,FLAVORED GINS,Uncle Val's,110,3 Badge Mixology,750,6,1,0,90,12/01/2013,2013,85924100319,85924100319,22.09,132.5,33.14,01/04/16
42511,SPICED RUM,Kirk & Sweeney,110,3 Badge Mixology,750,6,1,0,80,12/01/2013,2013,89105310115,89105310115,22.09,132.5,33.14,01/04/16
932650,AMERICAN SLOE GINS,Uncle Val's Botanical Gin,110,3 Badge Mixology,750,6,1,0,90,12/01/2015,2015,85924100319,85924100319,17.5,105,26.25,01/04/16
45656,PUERTO RICO & VIRGIN ISLANDS RUM,Red Rum,474,"3-D Spirits, Inc.",750,12,1,0,70,09/01/1997,1997,,,4.25,50.96,6.38,01/04/16
602297,FLAVORED RUM,Voo Doo Spice Rum,474,"3-D Spirits, Inc.",750,12,1,0,70,04/29/2005,2005,,,0,122,0,01/04/16
902248,FLAVORED RUM,Voo Doo Rum,474,"3-D Spirits, Inc.",750,12,1,0,70,04/29/2005,2005,,,10.17,122,15.26,01/04/16
902297,FLAVORED RUM,Jolly Roger Rum,474,"3-D Spirits, Inc.",750,12,1,0,80,04/29/2005,2005,,,8.92,107,13.38,01/04/16
989158,,Gamle Ode Dill Aquavit,164,45th Parallel Spirits,750,6,1,0,84,12/01/2015,2015,858311003001,858311003001,19.2,115.2,28.8,01/04/16
989159,,Gamle Ode Celebration Aquavit,164,45th Parallel Spirits,750,6,1,0,84,12/01/2015,2015,858311003018,858311003018,19.2,115.2,28.8,01/04/16
989160,,Gamle Ode Holiday,164,45th Parallel Spirits,750,6,1,0,84,12/01/2015,2015,858311003025,858311003025,19.86,119.16,29.79,01/04/16
902315,MISC. IMPORTED CORDIALS & LIQUEURS,Orchid Passion Fruit,11,888 Imports,750,6,1,0,31,09/11/2008,2008,,,15.83,95,23.75,01/04/16
902770,MISC. IMPORTED CORDIALS & LIQUEURS,Orchid Lychee,11,888 Imports,750,6,1,0,32,09/11/2008,2008,,,15.83,95,23.75,01/04/16
902905,MISC. IMPORTED CORDIALS & LIQUEURS,Orchid Pomegranate Liqueur,11,888 Imports,750,6,1,0,28,09/11/2008,2008,,,15.83,95,23.75,01/04/16
903115,MISC. IMPORTED CORDIALS & LIQUEURS,Orchid Mango,11,888 Imports,750,6,1,0,32,09/11/2008,2008,,,15.83,95,23.75,01/04/16
903405,MISC. IMPORTED CORDIALS & LIQUEURS,Orchid Rainbow Pack,11,888 Imports,750,12,1,0,28,09/17/2008,2008,,,15.42,185,23.13,01/04/16
903777,MISC. IMPORTED CORDIALS & LIQUEURS,Orchid Guava,11,888 Imports,750,6,1,0,26,09/11/2008,2008,,,15.83,95,23.75,01/04/16
904626,SINGLE MALT SCOTCH,Arran 10yr,10,"A Hardy / U.S.A., Ltd.",750,6,1,0,92,10/01/2009,2009,,,25.83,155,38.75,01/04/16
902259,SINGLE MALT SCOTCH,Arran Single Cask Bourbon Finish,10,"A Hardy / U.S.A., Ltd.",750,6,1,0,117,04/01/2011,2011,,,45,270,67.5,01/04/16
902720,SINGLE MALT SCOTCH,Arran 14yr,10,"A Hardy / U.S.A., Ltd.",750,6,1,0,92,04/01/2011,2011,,,37.67,226,56.51,01/04/16
15722,IRISH WHISKIES,Millars Special Reserve,10,"A Hardy / U.S.A., Ltd.",750,6,1,0,80,05/18/2012,2012,789764531035,789764531035,15,90,22.5,01/04/16
48080,IMPORTED GRAPE BRANDIES,Hardy VS Cognac,10,"A Hardy / U.S.A., Ltd.",750,6,1,0,80,05/18/2012,2012,789764102235,789764102235,18.33,110,27.5,01/04/16
48086,IMPORTED GRAPE BRANDIES,Hardy Vsop Cognac,10,"A Hardy / U.S.A., Ltd.",750,6,1,0,80,05/18/2012,2012,789764103034,789764103034,25,150,37.5,01/04/16
977558,MISC. AMERICAN CORDIALS & LIQUEURS,Thatcher Blood Orange,10,"A Hardy / U.S.A., Ltd.",750,6,1,0,30,01/09/2013,2013,898817002368,898817002368,11,66,16.5,01/04/16
977560,MISC. AMERICAN CORDIALS & LIQUEURS,Thatchers Apple Spice Ginger,10,"A Hardy / U.S.A., Ltd.",750,6,1,0,30,01/09/2013,2013,898817002184,898817002184,11,66,16.5,01/04/16
977562,MISC. AMERICAN CORDIALS & LIQUEURS,Thatchers Cucumber,10,"A Hardy / U.S.A., Ltd.",750,6,1,0,30,01/09/2013,2013,898817002108,898817002108,11,66,16.5,01/04/16
977564,MISC. AMERICAN CORDIALS & LIQUEURS,Thatchers Elderflower,10,"A Hardy / U.S.A., Ltd.",750,6,1,0,30,01/09/2013,2013,898817002085,898817002085,11,66,16.5,01/04/16
64999,MISC. IMPORTED CORDIALS & LIQUEURS,Fratello,10,"A Hardy / U.S.A., Ltd.",750,6,1,0,40,03/01/2013,2013,662263005514,662263005514,17.84,107,26.76,01/04/16
66787,MISC. IMPORTED CORDIALS & LIQUEURS,Skinos,10,"A Hardy / U.S.A., Ltd.",750,6,1,0,60,03/01/2013,2013,529173200005,529173200005,16.84,101,25.26,01/04/16
36200,IMPORTED VODKA,"Michael Godard ""Mr. Smooth""",10,"A Hardy / U.S.A., Ltd.",750,6,1,0,80,06/01/2014,2014,850151004002,850151004002,14.34,86,21.51,01/04/16
80034,CREAM LIQUEURS,Brown Jug Bourbon Cream,10,"A Hardy / U.S.A., Ltd.",750,6,1,0,34,10/01/2015,2015,851972006008,851972006008,11,66,16.5,01/04/16
21756,STRAIGHT BOURBON WHISKIES,Virginia Gentleman 80 Proof,12,A. Smith Bowman Distillery Inc.,750,12,1,0,80,09/01/2000,2000,,,5.51,66.07,8.27,01/04/16
21766,STRAIGHT BOURBON WHISKIES,Virginia Gentleman 90 Proof,12,A. Smith Bowman Distillery Inc.,750,12,1,0,90,09/01/2000,2000,,,10.71,128.55,16.07,01/04/16
903883,IMPORTED VODKA,Luksusowa Potato Vodka,14,"Adamba Imports Int'l, Inc.",1750,6,1,0,80,07/01/2003,2003,,,14.12,84.7,21.18,01/04/16
904783,IMPORTED VODKA,Vesica Vodka,14,"Adamba Imports Int'l, Inc.",750,12,1,0,80,06/14/2010,2010,,,5.99,71.88,8.99,01/04/16
902611,TEQUILA,Voodoo Tiki Reposado Tequila,16,Admiral Imports,750,6,1,0,80,02/15/2008,2008,,,30.23,181.4,45.35,01/04/16
902909,TEQUILA,Voodoo Tiki Anejo Tequila,16,Admiral Imports,750,6,1,0,80,02/15/2008,2008,,,33.19,199.15,49.79,01/04/16
902805,TEQUILA,Voodoo Tiki Tequila Platinum,16,Admiral Imports,750,6,1,0,80,03/01/2008,2008,,,27.25,163.5,40.88,01/04/16
903496,IMPORTED VODKA,O2 Sparkling Premium Vodka,16,Admiral Imports,750,6,1,0,80,04/15/2008,2008,,,18.33,110,27.5,01/04/16
903387,IMPORTED VODKA,Iceberg Vodka,16,Admiral Imports,1000,12,1,0,80,01/20/2009,2009,,,10,120,15,01/04/16
904231,TEQUILA,Voodoo Tiki Tequila Desert Rose,16,Admiral Imports,750,6,1,0,67,04/14/2009,2009,,,16,96,24,01/04/16
904241,TEQUILA,Voodoo Tiki Tequila Green Dragon,16,Admiral Imports,750,6,1,0,67,04/14/2009,2009,,,16,96,24,01/04/16
904399,TEQUILA,Voodoo Tiki Tequila Blue Dragon,16,Admiral Imports,750,6,1,0,67,04/14/2009,2009,,,16,96,24,01/04/16
904669,TEQUILA,Aha Yeto Anejo Tequila,114,Aha Toro Spirits Inc,750,6,1,0,80,07/31/2009,2009,899563002961,899563002961,30.5,183,45.75,01/04/16
904670,TEQUILA,Aha Yeto Reposado Tequila,114,Aha Toro Spirits Inc,750,6,1,0,80,07/31/2009,2009,899563002954,899563002954,23.5,141,35.25,01/04/16
904676,TEQUILA,Aha Yeto Blanco Tequila,114,Aha Toro Spirits Inc,750,6,1,0,80,07/31/2009,2009,899563002947,899563002947,21.84,131,32.76,01/04/16
903477,TEQUILA,Sol Dios Platinum Tequila,22,AIG Wine & Spirits DBA Mezzaluna Sp,750,6,1,0,80,10/04/2007,2007,,,20,120,30,01/04/16
903488,TEQUILA,Sol Dios Anejo Tequila,22,AIG Wine & Spirits DBA Mezzaluna Sp,750,6,1,0,80,10/04/2007,2007,,,23.33,140,35,01/04/16
66070,IMPORTED VODKA,Old Barrel,100,Aiko Importers Inc,750,6,1,18,80,10/01/2015,2015,94922450821,94922450821,16.5,99,24.75,01/04/16
50375,IMPORTED GRAPE BRANDIES,Original Gangster XO,100,Aiko Importers Inc,750,6,1,10,80,10/01/2015,2015,3760175130267,3760175130267,17.84,107.04,26.76,01/04/16
51120,IMPORTED GRAPE BRANDIES,Cleopatra XO,100,Aiko Importers Inc,750,6,1,6,80,12/01/2015,2015,877358001474,877358001474,23.84,143.04,35.76,01/04/16
15724,IRISH WHISKIES,Morrigan,100,Aiko Importers Inc,750,12,1,0,80,10/01/2015,2015,5390683100476,5390683100476,15.59,187.08,23.39,01/04/16
36059,IMPORTED VODKA,La Collection Fish,100,Aiko Importers Inc,375,6,1,0,80,10/01/2015,2015,877358001122,877358001122,18.84,113.04,28.26,01/04/16
36233,IMPORTED VODKA,La Collection Santa Claus,100,Aiko Importers Inc,1000,6,1,0,80,10/01/2015,2015,4840160002959,4840160002959,26.84,161.04,40.26,01/04/16
36235,IMPORTED VODKA,La Collection Race Car,100,Aiko Importers Inc,1000,6,1,0,80,10/01/2015,2015,4840160002164,4840160002164,27,162,40.5,01/04/16
36411,IMPORTED VODKA,La Collection Santa Claus,100,Aiko Importers Inc,1000,6,1,0,80,10/01/2015,2015,,,26.84,161.04,40.26,01/04/16
34381,IMPORTED VODKA,La Collection Musician,100,Aiko Importers Inc,750,6,1,0,80,12/01/2015,2015,484016002195,484016002195,25,150,37.5,01/04/16
36232,IMPORTED VODKA,La Collection $100 Banknote,100,Aiko Importers Inc,200,6,1,0,800,12/01/2015,2015,877358001924,877358001924,14,84,21,01/04/16
36344,IMPORTED VODKA,La Collection Tiger,100,Aiko Importers Inc,375,6,1,0,80,12/01/2015,2015,484016002942,484016002942,18.67,112.02,28.01,01/04/16
39506,IMPORTED VODKA,La Collection Flag,100,Aiko Importers Inc,200,6,1,0,80,12/01/2015,2015,877358001894,877358001894,14,84,21,01/04/16
51193,IMPORTED GRAPE BRANDIES,Five Star Pirate Sword,100,Aiko Importers Inc,375,6,1,0,80,12/01/2015,2015,877358001276,877358001276,18.84,113.04,28.26,01/04/16
51196,IMPORTED GRAPE BRANDIES,Five Star Pegasus,100,Aiko Importers Inc,375,6,1,0,80,12/01/2015,2015,877358000668,877358000668,18.84,113.04,28.26,01/04/16
51197,IMPORTED GRAPE BRANDIES,Five Star Turtle,100,Aiko Importers Inc,375,6,1,0,80,12/01/2015,2015,877358001610,877358001610,18.84,113.04,28.26,01/04/16
51195,,Five Star Pegasus,100,Aiko Importers Inc,375,6,1,0,80,12/01/2015,2015,877358000668,877358000668,18.84,113.04,28.26,01/04/16
51199,,Five Star Pirate Sword,100,Aiko Importers Inc,375,6,1,0,80,12/01/2015,2015,877358001276,877358001276,18.84,113.04,28.26,01/04/16
51201,,Five Star Turtle,100,Aiko Importers Inc,375,6,1,0,80,12/01/2015,2015,877358001610,877358001610,18.84,113.04,28.26,01/04/16
36443,IMPORTED VODKA,La Collection $100 Banknote,100,Aiko Importers Inc,200,6,1,0,80,02/01/2016,2016,877358001924,877358001924,14,84,21,01/04/16
36444,IMPORTED VODKA,La Collection Flag,100,Aiko Importers Inc,100,6,1,0,80,02/01/2016,2016,877358001894,877358001894,14,84,21,01/04/16
36445,IMPORTED VODKA,La Collection Musician,100,Aiko Importers Inc,750,6,1,0,80,02/01/2016,2016,484016002195,484016002195,25,150,37.5,01/04/16
987083,TEQUILA,Alien Tequila Silver,17,Alien Tequila Spirits Company,750,6,1,0,80,12/09/2013,2013,,,23.88,143.28,35.82,01/04/16
20946,STRAIGHT BOURBON WHISKIES,Old Whiskey River Bourbon,25,Alive Spirits,750,6,1,0,86,10/01/2001,2001,,,13.58,81.5,20.37,01/04/16
21964,STRAIGHT BOURBON WHISKIES,Walker's Deluxe Str Bourbon,490,ALLIED DOMECQ SPIRITS AND WINE USA,375,24,1,0,80,04/01/1985,1985,,,3.01,72.29,4.52,01/04/16
47784,IMPORTED GRAPE BRANDIES,Courvoisier Vs Cognac,490,ALLIED DOMECQ SPIRITS AND WINE USA,375,24,1,0,80,07/01/1985,1985,,,6.89,165.28,10.34,01/04/16
64874,MISC. IMPORTED CORDIALS & LIQUEURS,Drambuie Scotch Liqueur,490,ALLIED DOMECQ SPIRITS AND WINE USA,375,24,1,0,80,07/01/1985,1985,,,9.82,235.59,14.73,01/04/16
810621,CANADIAN WHISKIES,Canadian Club Whisky,490,ALLIED DOMECQ SPIRITS AND WINE USA,50,120,1,0,80,11/01/1985,1985,,,0.59,71.32,0.89,01/04/16
967521,COFFEE LIQUEURS,Kahlua Coffee Liqueur,490,ALLIED DOMECQ SPIRITS AND WINE USA,50,120,1,0,53,11/01/1985,1985,,,0.85,102.5,1.28,01/04/16
1959,DECANTERS & SPECIALTY PACKAGES,Courvoisier Vsop Cognac W/snifters,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,80,10/01/1986,1986,,,25.55,153.29,38.33,01/04/16
2775,DECANTERS & SPECIALTY PACKAGES,Kahlua Special Pack,490,ALLIED DOMECQ SPIRITS AND WINE USA,375,12,1,0,53,08/01/1987,1987,,,5.44,65.26,8.16,01/04/16
2915,DECANTERS & SPECIALTY PACKAGES,Carolan's W/glasses Irish Cream Liqueur,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,34,09/01/1988,1988,,,6.66,39.96,9.99,01/04/16
3125,DECANTERS & SPECIALTY PACKAGES,Irish Mist Gift Set Liqueur W/glasses,490,ALLIED DOMECQ SPIRITS AND WINE USA,375,12,1,0,70,09/01/1988,1988,,,6.04,72.46,9.06,01/04/16
68128,CREAM LIQUEURS,Carolan's Irish Cream Liqueur,490,ALLIED DOMECQ SPIRITS AND WINE USA,1750,6,1,0,34,11/01/1988,1988,,,18.09,108.56,27.14,01/04/16
4226,SCOTCH WHISKIES,Ballantine's Finest Scotch 4yr,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,80,05/01/1989,1989,,,10.92,131,16.38,01/04/16
86186,TRIPLE SEC,Hiram Walker Triple Sec,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,60,05/01/1989,1989,,,4.32,51.78,6.48,01/04/16
1384,DECANTERS & SPECIALTY PACKAGES,Canadian Club Glass Set,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,80,10/01/1989,1989,,,6.91,41.46,10.37,01/04/16
86188,TRIPLE SEC,Hiram Walker Triple Sec,490,ALLIED DOMECQ SPIRITS AND WINE USA,1750,6,1,0,60,10/01/1989,1989,,,8.52,51.12,12.78,01/04/16
83296,RASPBERRY SCHNAPPS,Hiram Walker Red Raspberry Schnapps,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,48,04/01/1990,1990,,,4.11,49.27,6.17,01/04/16
83256,PEACH SCHNAPPS,Hiram Walker Peach Schnapps,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,48,10/01/1990,1990,,,3.63,43.53,5.45,01/04/16
66076,MISC. IMPORTED CORDIALS & LIQUEURS,Opal Nera Sambuca,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,80,04/01/1991,1991,,,11.9,142.76,17.85,01/04/16
74436,FLAVORED RUM,Coco Reef,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,48,04/01/1991,1991,,,5.33,63.92,8,01/04/16
3364,DECANTERS & SPECIALTY PACKAGES,Midori With Two Margarita Glasses,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,42,10/01/1991,1991,,,10.4,62.42,15.6,01/04/16
1972,DECANTERS & SPECIALTY PACKAGES,Courvoisier Erte Decanter 1994,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,1,1,0,80,10/01/1992,1992,,,299.63,299.63,449.45,01/04/16
68116,CREAM LIQUEURS,Carolan's Light Irish Cream Liqueur,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,30,10/01/1992,1992,,,7.11,85.27,10.67,01/04/16
931970,DECANTERS & SPECIALTY PACKAGES,Courvoisier Erte Vigne Cognac Decanter 1993,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,1,1,0,80,09/01/1993,1993,,,297.3,297.3,445.95,01/04/16
1389,DECANTERS & SPECIALTY PACKAGES,Canadian Club Classic Glass Set,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,80,09/01/1994,1994,,,10.1,60.59,15.15,01/04/16
68136,CREAM LIQUEURS,Carolan's Irish Coffee Cream,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,34,10/01/1994,1994,,,7.11,85.27,10.67,01/04/16
89926,TEQUILA,T. Q. Hot Tequila Gold,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,70,04/01/1995,1995,,,10.09,121.13,15.14,01/04/16
1543,DECANTERS & SPECIALTY PACKAGES,Fris Vodka Glass Set,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,80,09/01/1995,1995,,,9.2,55.21,13.8,01/04/16
62050,AMERICAN COCKTAILS,Kahlua Milkquake,490,ALLIED DOMECQ SPIRITS AND WINE USA,200,24,1,0,11,09/01/1995,1995,,,0.86,20.62,1.29,01/04/16
62075,AMERICAN COCKTAILS,Kahlua Mudslide,490,ALLIED DOMECQ SPIRITS AND WINE USA,804,6,1,0,11,09/01/1995,1995,,,3.2,19.17,4.8,01/04/16
62083,AMERICAN COCKTAILS,Kahlua Toasted Almond,490,ALLIED DOMECQ SPIRITS AND WINE USA,200,24,1,0,11,09/01/1995,1995,,,0.8,19.17,1.2,01/04/16
68566,CREAM LIQUEURS,Kahlua Royale Cream Liqueur,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,34,09/01/1995,1995,,,11.09,133.13,16.64,01/04/16
64621,CANADIAN WHISKIES,Canadian Club Citrus (c.c. Citrus),490,ALLIED DOMECQ SPIRITS AND WINE USA,50,6,1,0,70,03/01/1996,1996,,,7.12,42.7,10.68,01/04/16
964621,CANADIAN WHISKIES,Canadian Club Citrus,490,ALLIED DOMECQ SPIRITS AND WINE USA,50,72,1,0,80,03/01/1996,1996,,,0.59,42.7,0.89,01/04/16
1392,DECANTERS & SPECIALTY PACKAGES,Canadian Club Classic With Pitcher,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,80,08/01/1996,1996,,,10.1,60.59,15.15,01/04/16
1982,DECANTERS & SPECIALTY PACKAGES,Courvoisier Vs With Snifters,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,80,09/01/1996,1996,,,14.44,86.65,21.66,01/04/16
28102,IMPORTED DRY GINS,Beefeater Gin,490,ALLIED DOMECQ SPIRITS AND WINE USA,50,10,1,0,94,12/01/1996,1996,,,14.04,140.39,21.06,01/04/16
47781,IMPORTED GRAPE BRANDIES,Courvoisier Vs Cognac,490,ALLIED DOMECQ SPIRITS AND WINE USA,603,10,1,0,80,12/01/1996,1996,,,19.96,199.59,29.94,01/04/16
928102,IMPORTED DRY GINS,Beefeater Gin Mini,490,ALLIED DOMECQ SPIRITS AND WINE USA,50,120,1,0,94,12/01/1996,1996,,,1.23,148,1.85,01/04/16
2781,DECANTERS & SPECIALTY PACKAGES,Kahlua With Pitcher,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,53,05/01/1997,1997,,,11.1,66.62,16.65,01/04/16
62078,AMERICAN COCKTAILS,Kahlua Raspberry Brownie,490,ALLIED DOMECQ SPIRITS AND WINE USA,200,24,1,0,11,08/01/1997,1997,,,0.86,20.62,1.29,01/04/16
2006,DECANTERS & SPECIALTY PACKAGES,Courvoisier Xo W/humidor,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,1,1,0,80,09/01/1997,1997,,,222.22,222.22,333.33,01/04/16
2586,DECANTERS & SPECIALTY PACKAGES,Hiram Walker Peppermint Schnapps Glass Set,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,60,09/01/1997,1997,,,3.26,19.56,4.89,01/04/16
2751,DECANTERS & SPECIALTY PACKAGES,Drambuie Liqueur Glass Set,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,80,09/01/1997,1997,,,17.43,209.14,26.15,01/04/16
2770,DECANTERS & SPECIALTY PACKAGES,Kahlua Glass Set,490,ALLIED DOMECQ SPIRITS AND WINE USA,375,12,1,0,53,09/01/1997,1997,,,6.18,74.12,9.27,01/04/16
3243,DECANTERS & SPECIALTY PACKAGES,Opal Nera Sambuca Glass Set,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,80,09/01/1997,1997,,,11.9,71.38,17.85,01/04/16
3244,DECANTERS & SPECIALTY PACKAGES,Opal Nera Sambuca Glass Set,490,ALLIED DOMECQ SPIRITS AND WINE USA,375,12,1,0,80,09/01/1997,1997,,,6.65,79.76,9.98,01/04/16
1995,DECANTERS & SPECIALTY PACKAGES,Courvoisier Vsop W/cigar Case,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,80,10/01/1997,1997,,,23.98,143.86,35.97,01/04/16
62088,AMERICAN COCKTAILS,Kahlua White Russian,490,ALLIED DOMECQ SPIRITS AND WINE USA,804,6,1,0,11,12/01/1997,1997,,,3.2,19.17,4.8,01/04/16
62055,AMERICAN COCKTAILS,Kahlua B52,490,ALLIED DOMECQ SPIRITS AND WINE USA,804,6,1,0,11,01/01/1998,1998,,,3.2,19.17,4.8,01/04/16
62066,AMERICAN COCKTAILS,Kahlua & Milk,490,ALLIED DOMECQ SPIRITS AND WINE USA,804,6,1,0,11,01/01/1998,1998,,,3.2,19.17,4.8,01/04/16
962055,AMERICAN COCKTAILS,Kahlua B52,490,ALLIED DOMECQ SPIRITS AND WINE USA,200,24,1,0,11,01/01/1998,1998,,,0.86,20.62,1.29,01/04/16
2787,DECANTERS & SPECIALTY PACKAGES,Kahlua B52 Party Music Cd,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,53,02/01/1998,1998,,,11.45,68.72,17.18,01/04/16
6030,SINGLE MALT SCOTCH,Scapa 12yr Single Malt Scotch,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,80,02/01/1998,1998,,,25,150,37.5,01/04/16
6236,SCOTCH WHISKIES,Teacher's Highland Cream Scotch,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,86,03/01/1998,1998,,,9.33,111.93,14,01/04/16
28079,IMPORTED DRY GINS,Beefeater Gin Pet,490,ALLIED DOMECQ SPIRITS AND WINE USA,603,10,1,0,94,05/01/1998,1998,,,14.84,148.39,22.26,01/04/16
2584,DECANTERS & SPECIALTY PACKAGES,Hiram Walker Peppermint Schnapps Mug,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,60,07/01/1998,1998,,,3.26,19.56,4.89,01/04/16
47780,IMPORTED GRAPE BRANDIES,Courvoisier Vs Cognac,490,ALLIED DOMECQ SPIRITS AND WINE USA,603,12,1,0,80,07/01/1998,1998,,,19.96,239.51,29.94,01/04/16
1479,DECANTERS & SPECIALTY PACKAGES,Beefeater Gin With Shaker,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,94,08/01/1998,1998,,,11.03,66.16,16.55,01/04/16
1998,DECANTERS & SPECIALTY PACKAGES,Courvoisier Vsop W/decanter,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,80,08/01/1998,1998,,,25.55,153.29,38.33,01/04/16
2227,DECANTERS & SPECIALTY PACKAGES,Presidente With Two Glasses,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,80,08/01/1998,1998,,,7.5,44.97,11.25,01/04/16
74526,APPLE SCHNAPPS,Sourballs Apple Liqueur,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,30,08/01/1998,1998,,,4.66,55.95,6.99,01/04/16
74536,MISCELLANEOUS SCHNAPPS,Sourballs Lemon Liqueur,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,30,08/01/1998,1998,,,4.66,55.95,6.99,01/04/16
74546,PEACH SCHNAPPS,Sourballs Peach Liqueur,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,30,08/01/1998,1998,,,4.66,55.95,6.99,01/04/16
74556,RASPBERRY SCHNAPPS,Sourballs Blue Raspberry Liqueur,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,30,08/01/1998,1998,,,4.66,55.95,6.99,01/04/16
2907,DECANTERS & SPECIALTY PACKAGES,Carolans Irish Cream W/candy,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,34,09/01/1998,1998,,,7.36,88.27,11.04,01/04/16
10616,CANADIAN WHISKIES,Canadian Club 100 Proof,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,100,10/01/1998,1998,80686816164,80686816164,8.25,98.96,12.38,01/04/16
1380,DECANTERS & SPECIALTY PACKAGES,Canadian Club Glass Set,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,80,10/01/1998,1998,,,6.91,41.48,10.37,01/04/16
47836,IMPORTED GRAPE BRANDIES,Courvoisier Millennium,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,80,11/01/1998,1998,,,30.55,366.55,45.83,01/04/16
962066,AMERICAN COCKTAILS,Kahlua & Milk,490,ALLIED DOMECQ SPIRITS AND WINE USA,200,24,1,0,30,02/01/1999,1999,,,0.86,20.62,1.29,01/04/16
962075,AMERICAN COCKTAILS,Kahlua Mudslide,490,ALLIED DOMECQ SPIRITS AND WINE USA,200,24,1,0,30,02/01/1999,1999,,,0.86,20.62,1.29,01/04/16
962088,AMERICAN COCKTAILS,Kahlua White Russian,490,ALLIED DOMECQ SPIRITS AND WINE USA,200,24,1,0,11,02/01/1999,1999,,,0.86,20.62,1.29,01/04/16
1471,DECANTERS & SPECIALTY PACKAGES,Beefeater Gin W/slanted Glass,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,6,1,0,94,07/01/1999,1999,,,11.03,66.16,16.55,01/04/16
2767,DECANTERS & SPECIALTY PACKAGES,Kahlua With Mug,490,ALLIED DOMECQ SPIRITS AND WINE USA,375,12,1,0,53,07/01/1999,1999,,,6.18,74.12,9.27,01/04/16
2768,DECANTERS & SPECIALTY PACKAGES,Kahlua 6 Mugs / 6 Reg,490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,53,07/01/1999,1999,,,11.45,137.44,17.18,01/04/16
34506,IMPORTED VODKA,Limonnaya Vodka (lemon),490,ALLIED DOMECQ SPIRITS AND WINE USA,750,12,1,0,80,07/01/1999,1999,,,11.2,134.35,16.8,01/04/16
